Speaker;Topic;Date;Words
Adah Spratling;Reverse-engineered homogeneous time-frame;2012-11-02;8282
Anestassia Mollindinia;Organic modular challenge;2012-11-23;463
Floria Iorizzo;Programmable eco-centric support;2012-11-02;1438
Giustino Capelen;Future-proofed tertiary protocol;2012-11-08;3677
Zulema Tchir;Future-proofed discrete array;2012-11-27;6486
Loni Stubbert;Centralized next generation capacity;2012-12-05;3205
Annadiana Haddleston;Quality-focused web-enabled toolset;2012-11-19;8473
Antons Armall;Open-source scalable software;2012-11-22;9822
Waiter Stickler;Versatile encompassing hub;2012-11-23;2766
Maxim Cuseck;Networked user-facing model;2012-12-04;5466
